n1,n2,score
colonel mauricio vargas,3d brigade commander colonel mauricio vargas,1.00
colonel mauricio vargas,3d infantry brigade commander colonel mauricio ernesto vargas,0.09
colonel mauricio vargas,col mauricio vargas,1.00
colonel mauricio vargas,colonel mauricio ernesto vargas,0.09
colonel ochoa perez,col. ochoa perez,1.00
colonel ochoa perez,col. sigifredo ochoa perez,0.15
colonel ochoa perez,colonel sigifredo ochoa perez,0.15
colonel ochoa perez,former army colonel sigifredo ochoa perez,0.15
colonel ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,0.15
colonel ochoa perez,salvadoran colonel sigifredo ochoa perez,0.15
colonel orlando inocente montano,colonal orlando montano,1.00
colonel orlando inocente montano,colonel orlando montano,1.00
colonel orlando montano,colonal orlando montano,1.00
colonel orlando montano,colonel orlando inocente montano,0.26
colonel orlando zepeda,col orlando cepeda,0.04
colonel orlando zepeda,deputy defense minister colonel juan orlando zepeda,0.26
colonel orlando zepeda,deputy defense minister colonel orlando zepeda,1.00
colonel ponce,col ponce,1.00
colonel ponce,col. ponce,1.00
colonel rene emilio,col rene emilio ponce,1.00
colonel rene emilio,col. rene emilio ponce,1.00
colonel rene emilio,colonel rene emilio ponce,1.00
colonel rene emilio,officer colonel rene emilio ponce,1.00
colonel rene emilio,salvadoran armed forces colonel rene emilio ponce,1.00
colonel rene emilio ponce,col emilio ponce,0.22
colonel rene emilio ponce,col rene emilio ponce,1.00
colonel rene emilio ponce,col. rene emilio ponce,1.00
colonel rene emilio ponce,colonel rene emilio,0.13
colonel rene emilio ponce,colonel rene ponce,0.21
colonel rene emilio ponce,officer colonel rene emilio ponce,1.00
colonel rene emilio ponce,salvadoran armed forces colonel rene emilio ponce,1.00
colonel rene ponce,col rene emilio ponce,1.00
colonel rene ponce,col. rene emilio ponce,1.00
colonel rene ponce,colonel rene emilio ponce,1.00
colonel rene ponce,officer colonel rene emilio ponce,1.00
colonel rene ponce,salvadoran armed forces colonel rene emilio ponce,1.00
colonel ricardo alfonso casanova sandoval,col ricardo alfonso casanova,0.75
colonel ricardo alfonso casanova sandoval,colonel ricardo casanova,0.55
colonel ricardo casanova,col ricardo alfonso casanova,1.00
colonel ricardo casanova,colonel ricardo alfonso casanova sandoval,1.00
colonel sigifredo ochoa perez,col. ochoa perez,0.10
colonel sigifredo ochoa perez,col. sigifredo ochoa perez,1.00
colonel sigifredo ochoa perez,colonel ochoa perez,0.10
colonel sigifredo ochoa perez,former army colonel sigifredo ochoa perez,1.00
colonel sigifredo ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,1.00
colonel sigifredo ochoa perez,salvadoran colonel sigifredo ochoa perez,1.00
colonel soto martinez,mr. de soto,1.00
colonel valdemar franklin quintero,antioquia police chief colonel waldemar franklin quintero,1.00
colonel valdemar franklin quintero,antioquia police department chief waldemar franklin quintero,1.00
colonel valdemar franklin quintero,col franklin quintero,1.00
colonel valdemar franklin quintero,colonel franklyn quintero,0.36
colonel valdemar franklin quintero,colonel waldemar franklin quintero,1.00
colonel vargas,col vargas,1.00
colonel vargas,gen vargas,1.00
colonel vargas,minister vargas,1.00
colonel waldemar franklin quintero,antioquia police chief colonel waldemar franklin quintero,1.00
colonel waldemar franklin quintero,antioquia police department chief waldemar franklin quintero,1.00
colonel waldemar franklin quintero,col franklin quintero,0.13
colonel waldemar franklin quintero,colonel franklyn quintero,0.05
colonel waldemar franklin quintero,colonel valdemar franklin quintero,0.13
colonel yair klein,former lt col jair klein,1.00
"commander ""franklin"" of the nicaraguan resistance (rn) general staff","contra commander israel galeano, alias franklin",1.00
commander aureliano,"contra commander manuel rugama acevedo, alias ""aureliano.""",1.00
commander aureliano,"manuel rugama, known as commander aureliano",1.00
commander aureliano,"nicaraguan contra commander manuel adan rugama, alias aureliano",1.00
commander daniel ortega,nicaragua's daniel ortega,1.00
commander daniel ortega,nicaraguan president daniel ortega,1.00
commander daniel ortega,nicaraguan president daniel ortega saavedra,0.33
commander daniel ortega,president daniel ortega,1.00
commander eduardo sancho,farabundo marti national liberation front commander eduardo sancho,1.00
commander eduardo sancho,"national liberation front commander eduardo sancho, alias ferman cienfuegos",1.00
commander esteban,"the guerrilla leader, known as ""esteban,""",1.00
commander ferman cienfuegos,"national liberation front commander eduardo sancho, alias ferman cienfuegos",1.00
commander gonzalez,fmln commander gonzalez,1.00
commander gonzalez,german gonzalez ramirez,1.00
commander gonzalez,judge gonzalez,1.00
commander gonzalez,prime minister gonzalez,1.00
commander joaquin villalobos,fmln commander joaquin villalobos,1.00
commander jorge melendez,fmln commander jorge melendez,1.00
commander jorge shafik handal,another fmln leader shafick handal,0.38
commander jorge shafik handal,commander shafik jorge handal,1.00
commander jorge shafik handal,rebel commander shafik handal,0.90
commander leonel gonzalez,"commander salvador sanchez, alias commander leonel gonzalez",1.00
commander martinez,dictator martinez,1.00
commander martinez,sergeant martinez of the fire department,1.00
commander miguel saenz of the farabundo marti national liberation front (fmln),fmln spokesman miguel saenz,1.00
commander misael gallardo,terrorist leaders misael gallardo,1.00
commander orlando morales,secretary general orlando morales,1.00
commander ortega,dictator ortega,1.00
commander ortega,mr ortega,1.00
commander ortega,nicaraguan president ortega,1.00
commander ortega,president ortega,1.00
commander pizarro,comrade pizarro,1.00
commander pizarro,mr. pizarro,1.00
commander quintero,col quintero,1.00
commander quintero,police chief quintero,1.00
commander roberto roca,farabundo marti national liberation front (fmln) commander roberto roca,1.00
commander roberto roca,italian citizen roberto victor carlini aroca,0.02
commander salvador sanchez ceren,"commander salvador sanchez, alias commander leonel gonzalez",1.00
"commander salvador sanchez, alias commander leonel gonzalez",commander leonel gonzalez,1.00
"commander salvador sanchez, alias commander leonel gonzalez",commander salvador sanchez ceren,0.08
commander shafik jorge handal,another fmln leader shafick handal,0.38
commander shafik jorge handal,commander jorge shafik handal,1.00
commander shafik jorge handal,rebel commander shafik handal,0.90
commander villalobos,comrade villalobos,1.00
communications minister mauricio sandoval,former captain mauricio mena sandoval,0.20
communications minister mauricio sandoval,salvadoran communications minister mauricio sandoval,1.00
communist leader jaime inzunza,chile leader jaime inzunza,1.00
communist leader jorge martinez,communist party leader jorge martinez,1.00
communist leader volodia teitelboim,comrade volodia teitelboim,1.00
communist leader volodia teitelboim,general secretary volodia teitelboim,1.00
communist party leader jorge martinez,communist leader jorge martinez,1.00
comrade castro,cuban president castro,1.00
comrade manuel cepeda,mr manuel cepeda,1.00
comrade merino,mr merino,1.00
comrade merino,vice president merino,1.00
comrade merino,vice president-elect merino,1.00
comrade pizarro,commander pizarro,1.00
comrade pizarro,mr. pizarro,1.00
comrade rolando,"victor polay campos, alias comrade rolando",1.00
comrade samayoa,dr samayoa,1.00
comrade sancho,fmln commander sancho,1.00
comrade villalobos,commander villalobos,1.00
comrade volodia teitelboim,communist leader volodia teitelboim,1.00
comrade volodia teitelboim,general secretary volodia teitelboim,1.00
congress president ricardo valdivieso,legislative assembly president ricardo alvarenga valdivieso,0.26
congress president ricardo valdivieso,legislative assembly president ricardo valdivieso,1.00
congress president ricardo valdivieso,national assembly president ricardo alvarenga valdivieso,0.26
conservative party leader alvaro gomez hurtado,dr. alvaro gomez,0.68
conservative party leader alvaro gomez hurtado,former presidential candidate alvaro gomez,0.68
conservative senator alvaro leyva,senator alvaro leyva,1.00
"contra commander israel galeano, alias franklin","commander ""franklin"" of the nicaraguan resistance (rn) general staff",1.00
contra commander manuel antonio rugama,general manual antonio noriega,0.15
contra commander manuel antonio rugama,"manuel rugama, known as commander aureliano",1.00
"contra commander manuel rugama acevedo, alias ""aureliano.""",commander aureliano,0.85
"contra commander manuel rugama acevedo, alias ""aureliano.""","manuel rugama, known as commander aureliano",1.00
copper workers union leader guillermo medina,general jose guillermo medina sanchez,1.00
costa rican ambassador jesus fernandez,ambassador jesus fernandez,1.00
costa rican ambassador jesus fernandez,arboledas mayor pedro jesus hernandez,0.10
costa rican ambassador jesus fernandez,mayor pedro jesus hernandez,0.10
costa rican foreign minister rodrigo madrigal,costa rican foreign minister rodrigo madrigal nieto,1.00
costa rican foreign minister rodrigo madrigal nieto,costa rican foreign minister rodrigo madrigal,0.60
costa rican foreign minister rodrigo madrigal nieto,foreign minister madrigal nieto,1.00
costa rican president arias,president arias,1.00
costa rican president oscar arias,costa rican president oscar arias sanchez,0.20
costa rican president oscar arias,nobel peace prize winner oscar arias,1.00
costa rican president oscar arias,president oscar arias,1.00
costa rican president oscar arias,the meeting costa rican president oscar arias,1.00
costa rican president oscar arias sanchez,costa rican president oscar arias,1.00
costa rican president oscar arias sanchez,nobel peace prize winner oscar arias,1.00
costa rican president oscar arias sanchez,president oscar arias,1.00
costa rican president oscar arias sanchez,the meeting costa rican president oscar arias,1.00
cuban president castro,comrade castro,1.00
das [administrative department of security] director miguel maza marquez,director general miguel maza marquez,1.00
das [administrative department of security] director miguel maza marquez,gen maza marquez,0.15
das [administrative department of security] director miguel maza marquez,general maza marquez,0.15
das [administrative department of security] director miguel maza marquez,general miguel alfredo maza marquez,0.18
das [administrative department of security] director miguel maza marquez,general miguel maza,0.11
das [administrative department of security] director miguel maza marquez,general miguel maza marquez,1.00
defense minister gen. hector alejandro gramajo,gen hector gramejo,0.03
defense minister gen. hector alejandro gramajo,general alejandro gramajo,0.24
defense minister gen. hector alejandro gramajo,general hector alejandro gramajo,1.00
defense minister gen. hector alejandro gramajo,general hector gramajo,0.12
defense minister gen. hector alejandro gramajo,general hector gramejo,0.03
defense minister general humberto larios,general humberto larios,1.00
defense minister general humberto larios,general rafael humberto larios,0.18
defense minister general humberto larios,general rafael humberto larios lopez,0.18
defense minister humberto romero,general humberto romero,1.00
defense minister humberto romero,president carlos humberto romero,0.11
defense minister oscar botero,general oscar botero restrepo,1.00
democratic convergence leader ruben zamora,secretary general ruben zamora,1.00
deputy defense minister colonel juan orlando zepeda,col orlando cepeda,0.15
deputy defense minister colonel juan orlando zepeda,colonel orlando zepeda,1.00
deputy defense minister colonel juan orlando zepeda,deputy defense minister colonel orlando zepeda,1.00
